category,count,articleKeys
Deep learning,339,"[""00c860e05574"", ""043684769543"", ""050876505c41"", ""05e2688a7bc5"", ""05e48832d20e"", ""0612ea3873e7"", ""06c0f2ce8149"", ""07c78b773a9e"", ""07fc94724eec"", ""0a00ff13084b"", ""0a91bafc9ed3"", ""0c2ef5f5f239"", ""0c4c0c9dfa22"", ""0cd301461c99"", ""0ce423384fd5"", ""0d3ed148cd7e"", ""0d6a03135510"", ""0d9a70ede5cc"", ""0dc2e29b3cdc"", ""0ff0aa3f6a75"", ""124df92e6d47"", ""12df428f0bc9"", ""132472fc1f98"", ""1408e75c41f8"", ""14ebc0156334"", ""15409c146949"", ""155874664ca6"", ""15e0a0244e47"", ""174dea9e9f2f"", ""175fe9b54084"", ""180d4efefd11"", ""1852aed2b535"", ""185bfa237de7"", ""18696a72d2e6"", ""1904798abdde"", ""194a129d30b7"", ""196caa492075"", ""19cb602b2f26"", ""1a2acf19df20"", ""1af22a193a23"", ""1bf504b7350f"", ""1c265355c2df"", ""1d162408014e"", ""1d4e02a1a00d"", ""1d842e8af942"", ""1ecb685fcb6b"", ""204d1f7e2d50"", ""20e75922954b"", ""211a1f5e8c68"", ""21574e4309b4"", ""2169dad77619"", ""22edae5415fa"", ""253ecd7dc13d"", ""2573e4102c86"", ""260b9335a18b"", ""26abc95edfa3"", ""26b86f0f7104"", ""2720fc4ea82f"", ""27c8caa3938d"", ""281cfd2b1e25"", ""28d93b251ada"", ""2add5b135634"", ""2b6fbc4f0508"", ""2c2ad7b1aef3"", ""2ce8cb442667"", ""2d159997288c"", ""2d749d9e9d78"", ""2d9526998521"", ""2da4eab59436"", ""2e6b2c0b76cd"", ""2eca1541a3a2"", ""2eea02f82a91"", ""2f01198b23e4"", ""30f9c197297e"", ""328d12f07b05"", ""32e2ad0d0e6f"", ""353e3e1970fc"", ""3546add1d637"", ""35bc3ce0c206"", ""35cf76e0902a"", ""3610864516d6"", ""36d500e38d2a"", ""382c85dc1773"", ""38ae9a4c720f"", ""38c21f05f613"", ""391d2af4c04b"", ""392467f34a8e"", ""393240c7cec2"", ""39421d06c383"", ""3a1c9f961d8f"", ""3a42efb6c3e0"", ""3c2419267f61"", ""3cd65c3da6bb"", ""3db5f67e924b"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""3fa94aec9761"", ""40af85c6a674"", ""40e5cd2458a7"", ""439dfd13b723"", ""4419aec5ed0a"", ""442a6774b300"", ""4491e0db91c1"", ""453d7dda7136"", ""45eb1a2f75ff"", ""47542dbde500"", ""4764e0c69fc7"", ""4a43cf41c93c"", ""4afc2a924102"", ""4caa01410b29"", ""4d67266653bd"", ""4f7cb7df4f7d"", ""5025397cedec"", ""5066313c066c"", ""508a17977cd2"", ""50e92c5d79ed"", ""54432e646501"", ""557e974d0f58"", ""569ab5ce6be4"", ""573280ef5d40"", ""58564251d58c"", ""586a2b8617e4"", ""5892e7ec15c7"", ""59533aad7727"", ""5a7f975813f3"", ""5b4074fce93a"", ""5c42c3c92f41"", ""5d93b7069e25"", ""5eda0c15ead9"", ""5fe18c92b5b8"", ""607838e1b84c"", ""617a92840067"", ""62966ef9fdb8"", ""62c5fb0e0006"", ""6347ea09d2bd"", ""642c3c0cd617"", ""646313884044"", ""64d31fb56e0d"", ""671fa968ac45"", ""685a023a1f71"", ""68f0266deb95"", ""69c68a670872"", ""6b5df424652b"", ""6b8a4c5793dc"", ""6d00851b6b2f"", ""6d1a19e2da14"", ""6fe05a02f932"", ""7043d68f5440"", ""7098a160108d"", ""7170b8cc9dcd"", ""720229a10c92"", ""740599fb90ce"", ""74bd3176c1ed"", ""772fab385995"", ""793fba531335"", ""79e8d2ce0b3d"", ""7a8d717e87c8"", ""7bda019936ec"", ""7c9a28561793"", ""7d76dcad4fd1"", ""7e500df4fae1"", ""7f53aa5cb1c9"", ""83cf8efd6fa3"", ""8529576161e7"", ""8548942b07da"", ""866ff7d14ed2"", ""86b8dd7b0271"", ""86c7ff548539"", ""873a9a16cc28"", ""87ad60e39c6e"", ""87f3cd94ec74"", ""884497e0ee92"", ""889c08799ba4"", ""88ef6ab637e1"", ""88f59ea42ad7"", ""89ed1d75a62e"", ""8a0a26e0ad28"", ""8a272a0621a3"", ""8a37722508f8"", ""8a3e4d6925f4"", ""8a5b73028348"", ""8b31cb8429dc"", ""8ba2213f7ff2"", ""8bade6a0ab7c"", ""8c8e1aed8a11"", ""8cc1cc25b209"", ""8cd265f63120"", ""8d687ff87530"", ""8e39b70ae840"", ""8e81837a5861"", ""8fdeab605f31"", ""9128d022254b"", ""925beb945b38"", ""92b0beaeeada"", ""942a7c645311"", ""9431a95feac7"", ""94eb03d655e3"", ""95091e88a995"", ""95b36061c90b"", ""96ce472e1aee"", ""98a6512e9253"", ""9a4a7b8bc450"", ""9adf89905665"", ""9be93b20f768"", ""9c1c75b00f71"", ""9c2426e5689a"", ""9c51cf880908"", ""9c5dde5cbaf5"", ""9f0384c0591e"", ""9f429b61566a"", ""a0537c1f5b2f"", ""a0c9a468cb84"", ""a1593fedce90"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a32e088bd521"", ""a375579ce8e5"", ""a3bb1eb6a59a"", ""a55c19870c66"", ""a5c99b438a02"", ""a610a9d426b3"", ""a6145efd1a25"", ""a619076b267e"", ""a6448a70e993"", ""a7d06d07e6c3"", ""a7e84a899e78"", ""a823efcedabd"", ""a8a58cac35be"", ""aaf83180b688"", ""acf81cbadaec"", ""ad6ea1627565"", ""ae048462feb9"", ""ae427adb3d51"", ""aec455f4c0cd"", ""afc412821b08"", ""b0bb1f653298"", ""b14e75f5029e"", ""b22f521050d7"", ""b238b5929a0a"", ""b2d92e326400"", ""b3e18537a972"", ""b40acd215682"", ""b42bb6aa4bd0"", ""b43746032b9d"", ""b531b62923e4"", ""b5784b25a496"", ""b5813c22bda8"", ""b58821328fea"", ""b5f971387b12"", ""b6aa9a3abc0f"", ""b89fd305580c"", ""baabcdd9106b"", ""babd088bc54d"", ""bbf1a9c65c10"", ""bc46a6372070"", ""bdec5046af38"", ""c0c5966a3f98"", ""c207fd307df3"", ""c3c03d9a26df"", ""c40cef1157c4"", ""c4ed68d9a886"", ""c644d5188019"", ""c68d30aef47a"", ""c96214dae904"", ""c989782a8bba"", ""c9fafe5b4ef7"", ""ca4ed632a93e"", ""cb11e397dac4"", ""cb1c58355a32"", ""cb6fb691c745"", ""cc173c68aaf4"", ""cda6f5d653f0"", ""ceb81af82ec8"", ""cf651cb4eb97"", ""cfa141a99804"", ""cfc9b29316ca"", ""d03d952857ab"", ""d05cac5388fa"", ""d0f160c2f77b"", ""d1c34bb65deb"", ""d2883190c5b7"", ""d28892d42ec2"", ""d2f5621f7596"", ""d44a9529bdde"", ""d465424b3564"", ""d485cdc6f95b"", ""d4aa814e85dd"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""d5d70edc6cef"", ""d66c54ff5654"", ""d80e6b8deec9"", ""daaa7bd24f6d"", ""ddb8a8742a4d"", ""ddff51574c2b"", ""de99037c54a3"", ""defa2b6538c8"", ""df4ac708eecf"", ""e09d7e8e0f06"", ""e1bb7788d422"", ""e295ef4e6849"", ""e2f6a88e3abc"", ""e4edbaa2c127"", ""e4ff9553115d"", ""e5136d5c95b2"", ""e53f05541439"", ""e8a1de4c2f1b"", ""e8da82ecca34"", ""ecb3e566bf6f"", ""ed3fec0ec1cd"", ""ed7fd7675fc5"", ""eed82e7dd133"", ""ef7005cea0a5"", ""ef74a70b4670"", ""f0f02ae9c681"", ""f1e33c79d14e"", ""f2a564301b9e"", ""f2c1c0d92f35"", ""f3443e988e2f"", ""f3d102f534b6"", ""f49beac306e5"", ""f5532f1b6916"", ""f61d97acc9da"", ""f6efab0f4258"", ""f7ff1f18afea"", ""fabdee03a10a"", ""fad54041dcf2"", ""fb4151a5b803"", ""fb61b5e416fe"", ""fba527f6ce22"", ""fbc53be7c1ec"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""fd535b17cb02"", ""fe1b54998c1a"", ""ff2b7a54d21d"", ""ffa998359094"", ""schlosser2024visualacuity""]"
CNN / convolutional network,208,"[""0491ca402c2d"", ""05e48832d20e"", ""0612ea3873e7"", ""06c0f2ce8149"", ""07fc94724eec"", ""0a91bafc9ed3"", ""0ab3fcfd31cd"", ""0c2ef5f5f239"", ""0cd301461c99"", ""0ce423384fd5"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""0dc2e29b3cdc"", ""0ff0aa3f6a75"", ""115dec251e53"", ""141b13698665"", ""155874664ca6"", ""1648261eab20"", ""17531fd94ff0"", ""175fe9b54084"", ""18696a72d2e6"", ""194a129d30b7"", ""19cb602b2f26"", ""1a2acf19df20"", ""1a93f0883cd2"", ""1af22a193a23"", ""1d162408014e"", ""1d4e02a1a00d"", ""1d794ad5abad"", ""1d842e8af942"", ""1e84cfa9a875"", ""204d1f7e2d50"", ""20e75922954b"", ""211a1f5e8c68"", ""21574e4309b4"", ""22edae5415fa"", ""253ecd7dc13d"", ""2573e4102c86"", ""2720fc4ea82f"", ""27c8caa3938d"", ""2b6fbc4f0508"", ""2b826e590278"", ""2da4eab59436"", ""328d12f07b05"", ""353e3e1970fc"", ""35bc3ce0c206"", ""38ae9a4c720f"", ""391d2af4c04b"", ""3a42efb6c3e0"", ""3c2419267f61"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""3fa94aec9761"", ""439dfd13b723"", ""4419aec5ed0a"", ""44ce6e703d06"", ""453d7dda7136"", ""45eb1a2f75ff"", ""47542dbde500"", ""4d67266653bd"", ""4f765ccd9085"", ""4f7cb7df4f7d"", ""508a17977cd2"", ""52c9f6e04e8b"", ""5426dc9b583d"", ""54432e646501"", ""557e974d0f58"", ""569ab5ce6be4"", ""58564251d58c"", ""5892e7ec15c7"", ""59533aad7727"", ""5a7f975813f3"", ""5b2edc0853a8"", ""5c42c3c92f41"", ""5d93b7069e25"", ""5eda0c15ead9"", ""5fe18c92b5b8"", ""61ee33ea2db5"", ""642c3c0cd617"", ""671fa968ac45"", ""685a023a1f71"", ""68f0266deb95"", ""6d00851b6b2f"", ""6d1a19e2da14"", ""7043d68f5440"", ""7098a160108d"", ""7170b8cc9dcd"", ""769ac8041ab3"", ""772fab385995"", ""79e8d2ce0b3d"", ""7abb94fc2719"", ""7dce1de2a158"", ""7f53aa5cb1c9"", ""853e0b588e73"", ""8548942b07da"", ""86c7ff548539"", ""873a9a16cc28"", ""87ad60e39c6e"", ""87f3cd94ec74"", ""884497e0ee92"", ""89ed1d75a62e"", ""8a0a26e0ad28"", ""8a272a0621a3"", ""8a37722508f8"", ""8a3e4d6925f4"", ""8a5b73028348"", ""8bade6a0ab7c"", ""8cc1cc25b209"", ""8d687ff87530"", ""8e39b70ae840"", ""8e81837a5861"", ""8fdeab605f31"", ""925beb945b38"", ""9431a95feac7"", ""95091e88a995"", ""95b36061c90b"", ""99087a376207"", ""9a4a7b8bc450"", ""9adf89905665"", ""9be93b20f768"", ""9c2426e5689a"", ""9c51cf880908"", ""9c5dde5cbaf5"", ""a0c9a468cb84"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a32e088bd521"", ""a375579ce8e5"", ""a5c99b438a02"", ""a610a9d426b3"", ""a6145efd1a25"", ""a7d06d07e6c3"", ""a8a58cac35be"", ""aaf83180b688"", ""ac26cb0e9249"", ""acf81cbadaec"", ""ae048462feb9"", ""ae427adb3d51"", ""aec455f4c0cd"", ""b0bb1f653298"", ""b22f521050d7"", ""b238b5929a0a"", ""b5813c22bda8"", ""b58821328fea"", ""b6ab3131bcdd"", ""babd088bc54d"", ""bd6e9fab3138"", ""c08be1c96b75"", ""c0c5966a3f98"", ""c3c03d9a26df"", ""c3ee99b25fe5"", ""c4e8e79b0dc1"", ""c68d30aef47a"", ""c7d15e21d947"", ""c9bcbbcd10e9"", ""c9fafe5b4ef7"", ""ca0cf545a69a"", ""cb11e397dac4"", ""cb6fb691c745"", ""cc173c68aaf4"", ""cfa141a99804"", ""d0f160c2f77b"", ""d1c34bb65deb"", ""d2268865c638"", ""d2f5621f7596"", ""d44a9529bdde"", ""d485cdc6f95b"", ""d4aa814e85dd"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""d5d70edc6cef"", ""d66c54ff5654"", ""daaa7bd24f6d"", ""ddff51574c2b"", ""de99037c54a3"", ""df4ac708eecf"", ""e09d7e8e0f06"", ""e10d72f899b9"", ""e1bb7788d422"", ""e2803d839281"", ""e4ff9553115d"", ""e5136d5c95b2"", ""e53f05541439"", ""e783fc3a548e"", ""e8a1de4c2f1b"", ""e8da82ecca34"", ""ea263bf4d04c"", ""ed3fec0ec1cd"", ""ed7fd7675fc5"", ""ef7005cea0a5"", ""f1e33c79d14e"", ""f2a564301b9e"", ""f32b6992dba5"", ""f3443e988e2f"", ""f5532f1b6916"", ""f61d97acc9da"", ""f6efab0f4258"", ""f8c4d3c38c89"", ""fabdee03a10a"", ""fad54041dcf2"", ""fb61b5e416fe"", ""fba527f6ce22"", ""fbc53be7c1ec"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""fd535b17cb02"", ""fe5fbf92daa6"", ""ff2b7a54d21d""]"
Machine learning,82,"[""050876505c41"", ""0ce6275d5e29"", ""0d3ed148cd7e"", ""0d6a03135510"", ""141b13698665"", ""150bc8d96d43"", ""15e0a0244e47"", ""17531fd94ff0"", ""18bd8aebe09b"", ""1e84cfa9a875"", ""1f86b4feb99a"", ""20c42a23585e"", ""211a1f5e8c68"", ""22edae5415fa"", ""2573e4102c86"", ""2a6359a3d36d"", ""2b826e590278"", ""2edcd32ecfef"", ""328d12f07b05"", ""3756a39ea98c"", ""393240c7cec2"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""442a6774b300"", ""45030507cc63"", ""52f6c2705903"", ""54432e646501"", ""5677c19959ca"", ""64d31fb56e0d"", ""685a023a1f71"", ""68f0266deb95"", ""6f739da64bf7"", ""7043d68f5440"", ""71adaf3d927c"", ""74603fc07566"", ""750835f3e51d"", ""7883c54e265c"", ""7a8d717e87c8"", ""7abb94fc2719"", ""7c9a28561793"", ""7d76dcad4fd1"", ""7dce1de2a158"", ""7e500df4fae1"", ""7f53aa5cb1c9"", ""7f74f101a703"", ""83cf8efd6fa3"", ""853e0b588e73"", ""8a3e4d6925f4"", ""8d687ff87530"", ""8e81837a5861"", ""901e5a28ee43"", ""9649fa53145e"", ""9adf89905665"", ""a25c2affba2e"", ""a54c7820e8a1"", ""a55c19870c66"", ""a6145efd1a25"", ""aaf83180b688"", ""acf81cbadaec"", ""ad6ea1627565"", ""b238b5929a0a"", ""b43746032b9d"", ""b531b62923e4"", ""b83bed0b0c18"", ""b89fd305580c"", ""baabcdd9106b"", ""bc46a6372070"", ""c4e8e79b0dc1"", ""cab0c62174f2"", ""cc7cb78e54ff"", ""d03d952857ab"", ""d28892d42ec2"", ""d44a9529bdde"", ""d5963dc2e2a1"", ""d6066a07ba35"", ""daaa7bd24f6d"", ""df4ac708eecf"", ""e842ed2e802d"", ""ef369f0c1328"", ""f32b6992dba5"", ""f41ca0b8e8aa"", ""schlosser2024visualacuity""]"
Transformer / attention / ViT,55,"[""043684769543"", ""0dc2e29b3cdc"", ""124df92e6d47"", ""150bc8d96d43"", ""1904798abdde"", ""1a93f0883cd2"", ""1af22a193a23"", ""1ce8b917da06"", ""1e84cfa9a875"", ""204d1f7e2d50"", ""2169dad77619"", ""345f15624795"", ""3f146b610a1c"", ""40af85c6a674"", ""40e5cd2458a7"", ""4491e0db91c1"", ""47542dbde500"", ""480eeed24bbb"", ""52c9f6e04e8b"", ""5892e7ec15c7"", ""617a92840067"", ""740599fb90ce"", ""7883c54e265c"", ""7a8d717e87c8"", ""7f80043b52dd"", ""87f3cd94ec74"", ""8b31cb8429dc"", ""8ba2213f7ff2"", ""9be93b20f768"", ""9c1c75b00f71"", ""a0c9a468cb84"", ""a32e088bd521"", ""a375579ce8e5"", ""a7d06d07e6c3"", ""ad6ea1627565"", ""b14e75f5029e"", ""b22f521050d7"", ""b40acd215682"", ""b5f971387b12"", ""b89fd305580c"", ""bbf1a9c65c10"", ""c3ee99b25fe5"", ""c4ed68d9a886"", ""cb6fb691c745"", ""cf8018eec68f"", ""d44a9529bdde"", ""dd322ca792a6"", ""e10d72f899b9"", ""e295ef4e6849"", ""e5136d5c95b2"", ""ecb3e566bf6f"", ""f2c1c0d92f35"", ""f32b6992dba5"", ""fbc53be7c1ec"", ""fcf0638d98ab""]"
Classical machine learning,52,"[""050876505c41"", ""06c0f2ce8149"", ""0ce6275d5e29"", ""0d6a03135510"", ""15e0a0244e47"", ""20c42a23585e"", ""2573e4102c86"", ""2a6359a3d36d"", ""2f01198b23e4"", ""3756a39ea98c"", ""3db5f67e924b"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""442a6774b300"", ""45030507cc63"", ""45eb1a2f75ff"", ""5066313c066c"", ""52f6c2705903"", ""5677c19959ca"", ""6b5df424652b"", ""71adaf3d927c"", ""750835f3e51d"", ""793fba531335"", ""7a8d717e87c8"", ""7f74f101a703"", ""83cf8efd6fa3"", ""853e0b588e73"", ""884497e0ee92"", ""8a0a26e0ad28"", ""901e5a28ee43"", ""94eb03d655e3"", ""9649fa53145e"", ""9adf89905665"", ""a54c7820e8a1"", ""b0bb1f653298"", ""b238b5929a0a"", ""b43746032b9d"", ""bd6e9fab3138"", ""c08f2f3d3e8b"", ""cab0c62174f2"", ""cc7cb78e54ff"", ""d03d952857ab"", ""d5963dc2e2a1"", ""d6066a07ba35"", ""e842ed2e802d"", ""ed7fd7675fc5"", ""ef369f0c1328"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""fb61b5e416fe"", ""fba527f6ce22"", ""fcf0638d98ab""]"
U-Net / encoder-decoder,49,"[""07c78b773a9e"", ""0c4c0c9dfa22"", ""0d6a03135510"", ""0dc2e29b3cdc"", ""1648261eab20"", ""1bf504b7350f"", ""1ce8b917da06"", ""21574e4309b4"", ""2169dad77619"", ""22edae5415fa"", ""26b86f0f7104"", ""2eea02f82a91"", ""30f9c197297e"", ""32e2ad0d0e6f"", ""35cf76e0902a"", ""36d500e38d2a"", ""392467f34a8e"", ""3fa94aec9761"", ""44ce6e703d06"", ""47542dbde500"", ""480eeed24bbb"", ""4a43cf41c93c"", ""5228248f6fb3"", ""5c42c3c92f41"", ""7f80043b52dd"", ""8b31cb8429dc"", ""8c8e1aed8a11"", ""92b0beaeeada"", ""a25c2affba2e"", ""a7d06d07e6c3"", ""a8a58cac35be"", ""ad6ea1627565"", ""ae427adb3d51"", ""b5f971387b12"", ""cb6fb691c745"", ""cf651cb4eb97"", ""cfc9b29316ca"", ""d28892d42ec2"", ""d465424b3564"", ""da86f734d8a3"", ""e09d7e8e0f06"", ""e1bb7788d422"", ""e295ef4e6849"", ""e4ff9553115d"", ""f2a564301b9e"", ""f2c1c0d92f35"", ""f7ff1f18afea"", ""ff2b7a54d21d"", ""ffa998359094""]"
Ensemble / hybrid method,38,"[""115dec251e53"", ""155874664ca6"", ""22edae5415fa"", ""2573e4102c86"", ""2720fc4ea82f"", ""44ce6e703d06"", ""453d7dda7136"", ""52c9f6e04e8b"", ""5677c19959ca"", ""5fe18c92b5b8"", ""62c5fb0e0006"", ""853e0b588e73"", ""8bade6a0ab7c"", ""8cc1cc25b209"", ""8e39b70ae840"", ""98a6512e9253"", ""ac26cb0e9249"", ""ad6ea1627565"", ""c207fd307df3"", ""c3ee99b25fe5"", ""c68d30aef47a"", ""cab0c62174f2"", ""cc173c68aaf4"", ""cda6f5d653f0"", ""d03d952857ab"", ""d2268865c638"", ""d2f5621f7596"", ""d44a9529bdde"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""ddb8a8742a4d"", ""e10d72f899b9"", ""f32b6992dba5"", ""f61d97acc9da"", ""fb4151a5b803"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""schlosser2024visualacuity""]"
GAN / generative model,8,"[""0ce423384fd5"", ""0dc2e29b3cdc"", ""12df428f0bc9"", ""185bfa237de7"", ""9f0384c0591e"", ""ddb8a8742a4d"", ""f486c8a77ee9"", ""fbc53be7c1ec""]"
Foundation model,1,"[""d384c5486fec""]"
